Date,Configuration,Customer Postcode,Store Postcode,Retail Price,Screen Size (Inches),Battery Life (Hours),RAM (GB),Processor Speeds (GHz),Integrated Wireless?,HD Size (GB),Bundled Applications?,customer X,customer Y,store X,store Y
1/1/2008 0:01,163,EC4V 5BH,SE1 2BN,455,15,5,1,2,Yes,80,Yes,532041,180995,534057,179682
1/1/2008 0:02,320,SW4 0JL,SW12 9HD,545,15,6,1,2,No,300,No,529240,175537,528739,173080
1/1/2008 0:04,23,EC3V 1LR,E2 0RY,515,15,4,1,2,Yes,300,Yes,533095,181047,535652,182961
1/1/2008 0:04,169,SW1P 3AU,SE1 2BN,395,15,5,1,2,No,40,Yes,529902,179641,534057,179682
1/1/2008 0:06,365,EC4V 4EG,SW1V 4QQ,585,15,6,2,2,No,120,Yes,531684,180948,528924,178440
1/1/2008 0:12,309,W1B 5PX,SW1V 4QQ,555,15,6,1,2,Yes,120,Yes,529207,180969,528924,178440
1/1/2008 0:14,75,SE25 4LX,SE8 3JD,465,15,4,2,2,No,80,Yes,534575,168236,537175,177885
1/1/2008 0:17,346,N7 6AR,E2 0RY,450,15,6,2,1.5,No,40,No,530461,186176,535652,182961
1/1/2008 0:24,70,W3 7JT,SW18 1NN,455,15,4,2,2,Yes,120,No,520898,180071,525155,175180
1/1/2008 0:56,351,SW8 1RB,SW1V 4QQ,620,15,6,2,1.5,No,300,Yes,530298,177435,528924,178440
1/1/2008 1:00,209,SE26 5HB,CR7 8LE,465,15,5,2,2,Yes,40,Yes,535838,171458,532714,168302
1/1/2008 1:03,359,W1T 1DG,NW5 2QH,665,15,6,2,2,Yes,300,Yes,529584,181554,529248,185213
1/1/2008 1:05,300,TW9 3AH,W4 3PH,440,15,6,1,1.5,No,80,No,518891,177662,519585,177640
1/1/2008 1:07,363,N1 9DU,SW1V 4QQ,565,15,6,2,2,No,80,Yes,530451,183067,528924,178440
1/1/2008 1:15,22,N1 8LU,E2 0RY,405,15,4,1,2,Yes,120,No,531957,183906,535652,182961
1/1/2008 1:18,53,E14 0BB,SE8 3JD,480,15,4,2,1.5,Yes,120,Yes,538189,180731,537175,177885
1/1/2008 1:29,310,WC1X 0AE,SW1P 3AU,505,15,6,1,2,Yes,120,No,531065,182190,529902,179641
1/1/2008 1:30,314,N1 9BL,SE1 2BN,425,15,6,1,2,No,40,No,530520,183119,534057,179682
1/1/2008 1:32,320,WC2E 8RF,SE1 2BN,545,15,6,1,2,No,300,No,530351,180907,534057,179682
1/1/2008 1:32,299,SE1 3XB,SW1P 3AU,490,15,6,1,1.5,No,80,Yes,533256,179711,529902,179641
1/1/2008 1:40,205,EC3N 2AE,SE1 2BN,480,15,5,2,1.5,No,120,Yes,533409,180902,534057,179682
1/1/2008 1:42,216,E6 3BD,E2 0RY,535,15,5,2,2,Yes,300,No,541936,183350,535652,182961
1/1/2008 1:42,203,W1T 1HH,NW5 2QH,460,15,5,2,1.5,No,80,Yes,529654,181374,529248,185213
1/1/2008 1:53,209,SE26 4BG,CR7 8LE,465,15,5,2,2,Yes,40,Yes,534883,172132,532714,168302
1/1/2008 2:00,368,EC1R 0DY,NW5 2QH,595,15,6,2,2,No,300,No,531497,182177,529248,185213
1/1/2008 2:00,293,E6 1PW,SE8 3JD,530,15,6,1,1.5,Yes,120,Yes,541540,183278,537175,177885
1/1/2008 2:22,352,E2 0JD,SE8 3JD,570,15,6,2,1.5,No,300,No,535274,182846,537175,177885
1/1/2008 2:26,215,SE10 9NW,SE1 2BN,585,15,5,2,2,Yes,300,Yes,538670,178069,534057,179682
1/1/2008 2:29,347,SE1 9AA,SW1P 3AU,540,15,6,2,1.5,No,80,Yes,532585,180197,529902,179641
1/1/2008 2:31,340,W1H 1DG,SW1P 3AU,510,15,6,2,1.5,Yes,80,No,527601,181753,529902,179641
1/1/2008 2:43,151,EC4V 5BH,SW1V 4QQ,510,15,5,1,1.5,Yes,300,Yes,532041,180995,528924,178440
1/1/2008 2:59,344,E17 9NL,E2 0RY,590,15,6,2,1.5,Yes,300,No,537855,188970,535652,182961
1/1/2008 3:20,337,W1T 1NT,NW5 2QH,520,15,6,2,1.5,Yes,40,Yes,529506,181566,529248,185213
1/1/2008 3:23,293,E14 6JP,E2 0RY,530,15,6,1,1.5,Yes,120,Yes,537158,181278,535652,182961
1/1/2008 3:24,213,SE1 1TA,SW1P 3AU,525,15,5,2,2,Yes,120,Yes,532409,180083,529902,179641
1/1/2008 3:29,200,W1D 7HS,SW1V 4QQ,510,15,5,2,1.5,Yes,300,No,529524,180728,528924,178440
1/1/2008 3:47,152,E6 1PW,E7 8NW,460,15,5,1,1.5,Yes,300,No,541540,183278,541428,184515
1/1/2008 3:58,197,NW6 7JR,NW5 2QH,500,15,5,2,1.5,Yes,120,Yes,524885,184280,529248,185213
1/1/2008 4:05,9,WC1H 8BS,SW1V 4QQ,350,15,4,1,1.5,No,40,Yes,530217,182638,528924,178440
1/1/2008 4:07,217,SE25 4UF,CR7 8LE,445,15,5,2,2,No,40,Yes,534186,168354,532714,168302
1/1/2008 4:15,163,WC1N 3ES,SW1P 3AU,455,15,5,1,2,Yes,80,Yes,530712,181998,529902,179641
1/1/2008 4:16,19,SW1V 3AS,SW1P 3AU,435,15,4,1,2,Yes,80,Yes,529618,178286,529902,179641
1/1/2008 4:25,340,NW1 0JH,NW5 2QH,510,15,6,2,1.5,Yes,80,No,529174,183469,529248,185213
1/1/2008 4:25,16,SW1X 7BA,SW1V 4QQ,420,15,4,1,1.5,No,300,No,528450,179458,528924,178440
1/1/2008 4:52,80,W1D 3TA,NW5 2QH,495,15,4,2,2,No,300,No,529586,181258,529248,185213
1/1/2008 4:53,320,W1P 9LG,SW1P 3AU,545,15,6,1,2,No,300,No,529425,182049,529902,179641
1/1/2008 5:15,215,TW9 3AH,SW18 1NN,585,15,5,2,2,Yes,300,Yes,518891,177662,525155,175180
