,Month,Sales
0,1-01,266.0
1,1-02,145.9
2,1-03,183.1
3,1-04,119.3
4,1-05,180.3
5,1-06,168.5
6,1-07,231.8
7,1-08,224.5
8,1-09,192.8
9,1-10,122.9
10,1-11,336.5
11,1-12,185.9
12,2-01,194.3
13,2-02,149.5
14,2-03,210.1
15,2-04,273.3
16,2-05,191.4
17,2-06,287.0
18,2-07,226.0
19,2-08,303.6
20,2-09,289.9
21,2-10,421.6
22,2-11,264.5
23,2-12,342.3
24,3-01,339.7
25,3-02,440.4
26,3-03,315.9
27,3-04,439.3
28,3-05,401.3
29,3-06,437.4
30,3-07,575.5
31,3-08,407.6
32,3-09,682.0
33,3-10,475.3
34,3-11,581.3
35,3-12,646.9
