,family,father,mother,midparentHeight,children,childNum,gender,childHeight
0,1,78.5,67.0,75.43,4,1,male,73.2
1,1,78.5,67.0,75.43,4,2,female,69.2
2,1,78.5,67.0,75.43,4,3,female,69.0
3,1,78.5,67.0,75.43,4,4,female,69.0
4,2,75.5,66.5,73.66,4,1,male,73.5
5,2,75.5,66.5,73.66,4,2,male,72.5
6,2,75.5,66.5,73.66,4,3,female,65.5
7,2,75.5,66.5,73.66,4,4,female,65.5
8,3,75.0,64.0,72.06,2,1,male,71.0
9,3,75.0,64.0,72.06,2,2,female,68.0
10,4,75.0,64.0,72.06,5,1,male,70.5
11,4,75.0,64.0,72.06,5,2,male,68.5
12,4,75.0,64.0,72.06,5,3,female,67.0
13,4,75.0,64.0,72.06,5,4,female,64.5
14,4,75.0,64.0,72.06,5,5,female,63.0
15,5,75.0,58.5,69.09,6,1,male,72.0
16,5,75.0,58.5,69.09,6,2,male,69.0
17,5,75.0,58.5,69.09,6,3,male,68.0
18,5,75.0,58.5,69.09,6,4,female,66.5
19,5,75.0,58.5,69.09,6,5,female,62.5
20,5,75.0,58.5,69.09,6,6,female,62.5
21,6,74.0,68.0,73.72,1,1,female,69.5
22,7,74.0,68.0,73.72,6,1,male,76.5
23,7,74.0,68.0,73.72,6,2,male,74.0
24,7,74.0,68.0,73.72,6,3,male,73.0
25,7,74.0,68.0,73.72,6,4,male,73.0
26,7,74.0,68.0,73.72,6,5,female,70.5
27,7,74.0,68.0,73.72,6,6,female,64.0
28,8,74.0,66.5,72.91,3,1,female,70.5
29,8,74.0,66.5,72.91,3,2,female,68.0
30,8,74.0,66.5,72.91,3,3,female,66.0
31,9,74.5,66.0,72.89,1,1,female,66.0
32,10,74.0,65.5,72.37,1,1,female,65.5
33,11,74.0,62.0,70.48,8,1,male,74.0
34,11,74.0,62.0,70.48,8,2,male,70.0
35,11,74.0,62.0,70.48,8,3,female,68.0
36,11,74.0,62.0,70.48,8,4,female,67.0
37,11,74.0,62.0,70.48,8,5,female,67.0
38,11,74.0,62.0,70.48,8,6,female,66.0
39,11,74.0,62.0,70.48,8,7,female,63.5
40,11,74.0,62.0,70.48,8,8,female,63.0
41,12,74.0,61.0,69.94,1,1,female,65.0
42,13,73.0,67.0,72.68,2,1,male,71.0
43,13,73.0,67.0,72.68,2,2,female,62.0
44,14,73.0,67.0,72.68,2,1,male,68.0
45,14,73.0,67.0,72.68,2,2,male,67.0
46,15,73.0,66.5,72.41,3,1,male,71.0
47,15,73.0,66.5,72.41,3,2,male,70.5
48,15,73.0,66.5,72.41,3,3,female,66.7
49,16,73.0,65.0,71.6,9,1,male,72.0
50,16,73.0,65.0,71.6,9,2,male,70.5
51,16,73.0,65.0,71.6,9,3,male,70.2
52,16,73.0,65.0,71.6,9,4,male,70.2
53,16,73.0,65.0,71.6,9,5,male,69.2
54,16,73.0,65.0,71.6,9,6,female,68.7
55,16,73.0,65.0,71.6,9,7,female,66.5
56,16,73.0,65.0,71.6,9,8,female,64.5
57,16,73.0,65.0,71.6,9,9,female,63.5
58,17,73.0,64.5,71.33,6,1,male,74.0
59,17,73.0,64.5,71.33,6,2,male,73.0
60,17,73.0,64.5,71.33,6,3,male,71.5
61,17,73.0,64.5,71.33,6,4,male,62.5
62,17,73.0,64.5,71.33,6,5,female,66.5
63,17,73.0,64.5,71.33,6,6,female,62.3
64,18,73.0,64.0,71.06,3,1,female,66.0
65,18,73.0,64.0,71.06,3,2,female,64.5
66,18,73.0,64.0,71.06,3,3,female,64.0
67,19,73.2,63.0,70.62,1,1,female,62.7
68,20,72.7,69.0,73.61,8,1,male,73.2
69,20,72.7,69.0,73.61,8,2,male,73.0
70,20,72.7,69.0,73.61,8,3,male,72.7
71,20,72.7,69.0,73.61,8,4,female,70.0
72,20,72.7,69.0,73.61,8,5,female,69.0
73,20,72.7,69.0,73.61,8,6,female,68.5
74,20,72.7,69.0,73.61,8,7,female,68.0
75,20,72.7,69.0,73.61,8,8,female,66.0
76,21,72.0,68.0,72.72,3,1,male,73.0
77,21,72.0,68.0,72.72,3,2,female,68.5
78,21,72.0,68.0,72.72,3,3,female,68.0
79,22,72.0,67.0,72.18,3,1,male,73.0
80,22,72.0,67.0,72.18,3,2,male,71.0
81,22,72.0,67.0,72.18,3,3,female,67.0
82,23,72.0,65.0,71.1,7,1,male,74.2
83,23,72.0,65.0,71.1,7,2,male,70.5
84,23,72.0,65.0,71.1,7,3,male,69.5
85,23,72.0,65.0,71.1,7,4,female,66.0
86,23,72.0,65.0,71.1,7,5,female,65.5
87,23,72.0,65.0,71.1,7,6,female,65.0
88,23,72.0,65.0,71.1,7,7,female,65.0
89,24,72.0,65.5,71.37,1,1,female,65.5
90,25,72.0,64.0,70.56,2,1,female,66.0
91,25,72.0,64.0,70.56,2,2,female,63.0
92,26,72.0,63.0,70.02,5,1,male,70.5
93,26,72.0,63.0,70.02,5,2,male,70.5
94,26,72.0,63.0,70.02,5,3,male,69.0
95,26,72.0,63.0,70.02,5,4,female,65.0
96,26,72.0,63.0,70.02,5,5,female,63.0
97,27,72.0,63.0,70.02,3,1,male,69.0
98,27,72.0,63.0,70.02,3,2,male,67.0
99,27,72.0,63.0,70.02,3,3,female,63.0
100,28,72.0,63.0,70.02,6,1,male,73.0
101,28,72.0,63.0,70.02,6,2,male,67.0
102,28,72.0,63.0,70.02,6,3,female,70.5
103,28,72.0,63.0,70.02,6,4,female,70.0
104,28,72.0,63.0,70.02,6,5,female,66.5
105,28,72.0,63.0,70.02,6,6,female,63.0
106,29,72.5,63.5,70.54,3,1,female,67.5
107,29,72.5,63.5,70.54,3,2,female,67.2
108,29,72.5,63.5,70.54,3,3,female,66.7
109,30,72.0,62.0,69.48,1,1,female,64.0
110,31,72.5,62.0,69.73,6,1,male,71.0
111,31,72.5,62.0,69.73,6,2,male,70.0
112,31,72.5,62.0,69.73,6,3,male,70.0
113,31,72.5,62.0,69.73,6,4,female,66.0
114,31,72.5,62.0,69.73,6,5,female,65.0
115,31,72.5,62.0,69.73,6,6,female,65.0
116,32,72.0,62.0,69.48,5,1,male,74.0
117,32,72.0,62.0,69.48,5,2,male,72.0
118,32,72.0,62.0,69.48,5,3,male,69.0
119,32,72.0,62.0,69.48,5,4,female,67.5
120,32,72.0,62.0,69.48,5,5,female,63.5
121,33,72.0,62.0,69.48,5,1,male,72.0
122,33,72.0,62.0,69.48,5,2,male,71.5
123,33,72.0,62.0,69.48,5,3,male,71.5
124,33,72.0,62.0,69.48,5,4,male,70.0
125,33,72.0,62.0,69.48,5,5,female,68.0
126,34,72.0,61.0,68.94,1,1,female,65.7
127,35,71.0,69.0,72.76,5,1,male,78.0
128,35,71.0,69.0,72.76,5,2,male,74.0
129,35,71.0,69.0,72.76,5,3,male,73.0
130,35,71.0,69.0,72.76,5,4,male,72.0
131,35,71.0,69.0,72.76,5,5,female,67.0
132,36,71.0,67.0,71.68,4,1,male,73.2
133,36,71.0,67.0,71.68,4,2,male,73.0
134,36,71.0,67.0,71.68,4,3,male,69.0
135,36,71.0,67.0,71.68,4,4,female,67.0
136,37,71.0,66.0,71.14,4,1,male,70.0
137,37,71.0,66.0,71.14,4,2,female,67.0
138,37,71.0,66.0,71.14,4,3,female,67.0
139,37,71.0,66.0,71.14,4,4,female,66.5
140,38,71.0,66.0,71.14,6,1,male,70.0
141,38,71.0,66.0,71.14,6,2,male,69.0
142,38,71.0,66.0,71.14,6,3,male,68.5
143,38,71.0,66.0,71.14,6,4,female,66.0
144,38,71.0,66.0,71.14,6,5,female,64.5
145,38,71.0,66.0,71.14,6,6,female,63.0
146,39,71.0,66.0,71.14,2,1,male,71.0
147,39,71.0,66.0,71.14,2,2,female,67.0
148,40,71.0,66.0,71.14,5,1,male,76.0
149,40,71.0,66.0,71.14,5,2,male,72.0
150,40,71.0,66.0,71.14,5,3,male,71.0
