,Name,Position,Height,Weight,Age in 2013
0,DeQuan Jones,Guard,80,221,23
1,Darius Miller,Guard,80,235,23
2,Trevor Ariza,Guard,80,210,28
3,James Jones,Guard,80,215,32
4,Wesley Johnson,Guard,79,215,26
5,Klay Thompson,Guard,79,205,23
6,Thabo Sefolosha,Guard,79,215,29
7,Chase Budinger,Guard,79,218,25
8,Kevin Martin,Guard,79,185,30
9,Evan Fournier,Guard,79,206,20
10,Ronnie Brewer,Guard,79,235,28
11,Ricky Ledo,Guard,79,197,21
12,James Ennis,Guard,79,201,23
13,Kyle Korver,Guard,79,212,32
14,Sergey Karasev,Guard,79,197,19
15,DeMar DeRozan,Guard,79,217,24
16,Shaun Livingston,Guard,79,185,28
17,Joe Johnson,Guard,79,240,32
18,Greivis Vasquez,Guard,78,211,26
19,Kobe Bryant,Guard,78,205,35
20,Nick Young,Guard,78,200,28
21,Alec Burks,Guard,78,195,22
22,Allen Crabbe,Guard,78,200,21
23,Will Barton,Guard,78,174,22
24,Alexey Shved,Guard,78,190,24
25,Shabazz Muhammad,Guard,78,225,20
26,Danny Green,Guard,78,210,26
27,Tyreke Evans,Guard,78,220,24
28,Nick Calathes,Guard,78,194,24
29,Reggie Williams,Guard,78,205,27
30,D.J. Kennedy,Guard,78,215,23
31,Garrett Temple,Guard,78,195,27
32,Glen Rice Jr.,Guard,78,211,22
33,Damien Wilkins,Guard,78,225,33
34,Kentavious Caldwell-Pope,Guard,78,205,20
35,Carrick Felix,Guard,78,200,23
36,C.J. Miles,Guard,78,222,26
37,Julyan Stone,Guard,78,200,24
38,Jason Richardson,Guard,78,225,32
39,Michael Carter-Williams,Guard,78,185,21
40,Tony Wroten,Guard,78,208,20
41,James Anderson,Guard,78,215,24
42,Iman Shumpert,Guard,78,220,23
43,Tim Hardaway Jr.,Guard,78,205,21
44,Ben McLemore,Guard,77,195,20
45,Trent Lockett,Guard,77,210,22
46,Malcolm Lee,Guard,77,200,23
47,Archie Goodwin,Guard,77,189,19
48,Dionte Christmas,Guard,77,205,27
49,Jamal Crawford,Guard,77,200,33
50,Kent Bazemore,Guard,77,201,24
