,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
0,AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,1.1,E,Estimated value
1,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,1.0,,
2,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,2.0,,
3,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,,
4,CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
5,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
6,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.6,,
7,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.5,,
8,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
9,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.7,,
10,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,4.8,,
11,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.4,,
12,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,,
13,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,1.1,,
14,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,6.4,,
15,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,4.2,,
16,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
17,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,4.2,,
18,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.0,,
19,NZL,New Zealand,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,E,Estimated value
20,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.3,,
21,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,3.2,,
22,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.9,,
23,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.6,,
24,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
25,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.0,,
26,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.0,,
27,TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,12.7,,
28,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.2,,
29,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.1,,
30,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,6.7,,
31,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,9.4,,
32,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,8.1,,
33,ISR,Israel,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,3.7,E,Estimated value
34,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,15.1,,
35,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,0.5,,
36,OECD,OECD - Total,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,units,,,2.4,,
37,AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,1.1,E,Estimated value
38,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,1.0,E,Estimated value
39,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,2.0,E,Estimated value
40,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.2,E,Estimated value
41,CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.9,E,Estimated value
42,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.9,E,Estimated value
43,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.6,E,Estimated value
44,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.5,E,Estimated value
45,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.1,E,Estimated value
46,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,MN,Men,PC,Percentage,0,units,,,0.7,E,Estimated value
