Aashiqui (The Love Theme)	Mithoon	Aashiqui 2	2:42
Ad Infinitum	Lorenzo Ferrara	• Epic Cinematic Trailer Themes Aetemum.	3:23
Always Mine	Thomas Bergersen	Sun	3:22
Apollo	Thomas Bergersen	Humanity - Chapter IV	4:08
Archangel	Thomas Bergersen	Archangel	2:35
Arrow of Time	David Chappell	Aeon	5:01
Awareness	Fredrik Sundberg	Awareness	2:05
Axel F LYRICS	Crazy Frog	Crazy Frog presents Crazy Hits	2:52
Banjo and the Pianist	Stoneocean	Awaken	3:36
Beautiful People	Thomas Bergersen	Humanity - Chapter I	4:57
Beyond	Adrian Berenguer	Beyond	3:39
Birth of a Hero	Thomas Bergersen	Classics, Vol. I	2:15
Bliss	Sacred Earth	Breathing Space	7:25
Bravestone	Two Steps From Hell, Thomas Bergersen	Dragon	3:17
Breath and Life	Audiomachine	Chronicles	1:48
Breathe	Thomas Bergersen & Two Steps From Hell	SkyWorld	2:56
Bujji Theme (From "Kalki 2898 AD")	Santhosh Narayanan, Priya Ragu & Japhna Gold	Bujji Theme (From "Kalki 2898 AD") 0:47
Bushido	Peter Roe	Ronin	4:10
Carol Of The Bells	Lindsey Stirling	Warmer In The Winter	2:46
Carol of the Bells	Taylor Davis & Lara de Wit	Songs of Christmas	3:01
Crystal Flowers	Fire Yoga	Modern Meditation	5:05
The Day She Left	Piotr Wiese	Coming Home	2:10
Desert Caravan	Reign of Fire	Desert Caravan	5:33
DOOR OF TRUTH (Instrumental)	King Kashmere	DOOR OF TRUTH [Explicit]	2:36
Dragonwing	Two Steps From Hell, Thomas Bergersen	Dragon	2:57
Emerald Princess	Two Steps From Hell, Thomas Bergersen	Dragon	11:01
Enchantress	Two Steps From Hell	Vanquish	8:17
Endless Winter	Vendla	Longing	3:57
Epical	StereojamMusic	Epic Motivational Music	2:10
Evergreen	Two Steps From Hell	Vanquish	3:02
The Fire in Her Eyes	Two Steps From Hell	Orion	5:32
Flight Of The Silverbird	Two Steps From Hell	Battlecry	3:21
The Flute Of Sri Krishna	Instrumental	Karthikeya 2 - BGM	3:06
Glimmer of Hope (feat. Aeralie Brighton)	Ivan Torrent	Reverie The Compilation Album	3:52
Grasswalk	Laura Shigihara	Plants Vs. Zombies (Original Video Game Soundtrack)	2:28
Guardians At the Gate	Audiomachine	Chronicles	2:05
Half Girlfriend Love Theme	Mithoon	Half Girlfriend	4:32
Har Kisi Ko Nahi Milta	Purbayan Chatterjee	Har Kisi Ko Nahi Mitta - Sentiments Of Love (Instrumental)	3:16
Hare Krishna Hare Rama Mahamantra Lofi Fl...	Flutewala	Hare Krishna Hare Rama Mahamantra (tofi Elute Instrum..	8:00
Heartbeat (Instrumental)	Shankar-Ehsaan-Loy	Kal Ho Naa Ho (Original Motion Picture Soundtrack)	4:23
Hedwig's Theme	John Williams	Harry Potter and The Sorcerer's Stone (AKA Philosopher'...	5:09
A Hero Rides With Us	Epic Score	Journey Beyond The Sky - ES028	2:08
The Hero Within	James Paget	Rubicon	4:11
Heroes Never Die	David Chappell	Heroes Never Die	3:18
Hey Ganaraya LYRICS	Divya Kumar	ABCD 2	4:52
High C's	Two Steps From Hell	Vanquish	5:39
Hope	Green Lads	NEBULA	3:54
Humanity	Thomas Bergersen	Humanity - Chapter I	10:49
Hymn to the Sea	James Horner	Titanic: Special Edition	6:26
Imperium	Ghost	IMPERA [Explicit]
Infinity X Anbe En Anbe	Ds Abhishek	Infinity X Anbe En Anbe	2:36
Interlude	Alan Walker	Different World	1:19
Into The Light	Brand X Music	Chronos	2:55
Intro	Alan Walker	Different World	1:16
It's Your Call	Garena Free Fire	It's Your Call	2:08
Journey to Aurora	Andreas Kübler	Journey to Aurora	2:55
Kavkaz Orginal Bass 2	Qara 07	Kavkaz Orginal Bass 2	2:12
L'Appel Du Vide	Thomas Bergersen	Humanity - Chapter I	5:27
Lenore	Josh Kramer	Lenore	2:38
Levels (Original Version)	Avicii	Levels	5:39
Liberators	Epic Score	Vengeance - ES033	2:36
Life Is Beautiful	G.V.Prakash Kumar	Deiva Thiirumagal (Original Motion Picture Soundtrack)	1:44
Listen	Wibke Komi	Listen	2:24
Lost Cause	Instrumental Core & Really Slow Motion	Angels Among Demons
Luminary (Piano Edit)	Joel Sunny	Luminary	3:10
M'envoler vers toi	Felicia Farerre [feat. Phil Rey]	MMXVIII	5:08
Magic	Thomas Bergersen	Humanity - Chapter Ill	3:27
Magika	Two Steps From Hell	Classics, Vol. 2	1:56
Mahabharat Title Track [Explicit]	oldhouseproduction	Mahabharat Title Track [Explicit]
Manam Theme	Anup Rubens	Manam	2:12
Mechanical Heart	Really Slow Motion	Existentia	5:12
Monody	TheFatRat	Monody	4:51
Mountain Call	Thomas Bergersen	Humanity - Chapter I	5:44
Musica Cinematografica do Oriente Medio	Musicas Instrumentais Originais	Musica Cinematografica do Oriente Medio	7:52
Never Back Down
LYRICS	Two Steps From Hell	Battlecry	2:55
Never Give up on Your Dreams	Two Steps From Hell	Unleashed	5:20
Nighthawk	Two Steps From Hell, Nick Phoenix	Dragon	3:24
None Shall Live	Two Steps From Hell	Battlecry	2:20
The Nutcracker - March	Vienna Symphonic Orchestra	Tchaikowsky - Swan Lake - Sleeping Beauty - Nutcracker...	2:45
Olive Tree	Bü?ra Kaylkfl	Places	2:32
Om Shanti Om (Instrumental)	Not Applicable, Vishal-Sheykhar & Javed Akhtar	Om Shanti Om	0:57
Pegasus	Two Steps From Hell	Vanquish	4:29
A Place in the Stars	David Chappell	A Place in the Stars	3:35
Precious Moment	Cameron Segal	Precious Moment	2:32
A Priceless Soul	Anne-Sophie Versnaeyen	Soul Stories 2 (Emotional Orchestral Drama Tracks)	2:22
Rainy Days	Two Steps from Heaven	The Light Album	1:38
Reborn	Really Slow Motion	Battle Angel	2:57
Rewrite The Stars (Violin Instrumental)	Taylor Davis	Rewrite The Stars (Violin Instrumental)	3:16
Rhiannon	Faun	Renaissance (Pagan Medieval Folk)	3:28
Rising Force (Choir)	Two Steps From Hell	Legend Anthology	1:51
Rondo Alla Turca	Wolfgang Amadeus Mozart	A Calendar Of Classics - A 12 CD Set Of Romantic Classic..	3:38
Rush E	Sheet Music Boss	Rush Collection	2:24
Scam 1992 Theme	Achint	Scam 1992 (Original Score)	1:47
Sea Shanty Medley (Violin Instrumental)	Taylor Davis	Sea Shanty Medley (Violin Instrumental)	2:43
Secret Melody	Two Steps From Hell	Unleashed	3:46
Senbonzakura	Random Piano	Senbonzakura	4:59
Shape Of Dreams	Lorenzo Ferrara	Aeternum: Epic Cinematic Trailer Themes	4:46
SLAY! [Explicit]	Eternxlkz	SLAY! [Explicit] 1:47
